name,lambda_att,lambda_bg,phase1_lr,phase2_lr,weight_decay,optimizer,scheduler,best_epoch,best_val_loss,val_acc_at_best_loss,val_macro_f1_at_best,val_ilar_at_best
lam_att_0.0,0.0,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.39615182958777967,0.8595275590551181,0.8639672287031731,0.23931561218471978
lam_att_0.1,0.1,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.443288315910054,0.855748031496063,0.8583256240584414,0.4409028742632528
lam_att_0.3,0.3,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.5098085813494179,0.8560629921259842,0.8593483097781548,0.48357797495023475
lam_att_0.5,0.5,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.571726074908662,0.8570078740157481,0.8600825656716932,0.504476687964492
lam_att_1.0,1.0,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.7240470936260824,0.8579527559055118,0.8613545287143664,0.5239003746152863
