name,lambda_att,lambda_bg,phase1_lr,phase2_lr,weight_decay,optimizer,scheduler,best_epoch,best_val_loss,val_acc_at_best_loss,val_macro_f1_at_best,val_ilar_at_best
lam_bg_0.0,1.0,0.0,0.001,5e-05,0.0001,adamw,cosine,5,0.7240470936260824,0.8579527559055118,0.8613545287143664,0.5239003746152863
lam_bg_0.1,1.0,0.1,0.001,5e-05,0.0001,adamw,cosine,5,0.7359152115517714,0.8579527559055118,0.8612033512392324,0.5313011158169724
lam_bg_0.3,1.0,0.3,0.001,5e-05,0.0001,adamw,cosine,5,0.7582111080424992,0.8585826771653543,0.8618451248791948,0.5444374520008958
lam_bg_0.5,1.0,0.5,0.001,5e-05,0.0001,adamw,cosine,5,0.7785062932123349,0.8573228346456693,0.8608860777202534,0.5549004307694323
lam_bg_1.0,1.0,1.0,0.001,5e-05,0.0001,adamw,cosine,5,0.822798273882528,0.8579527559055118,0.86116448085048,0.575537083092637
