arm,gate,lambda,test_acc,test_macro_f1,test_auc_macro,ILAR,att_dice,EIL_post,EIL_pre,delta_macro_f1,delta_eil_post,delta_eil_pre
A0_vanilla,none,0.0,0.9467716535433071,0.9511185534380392,0.993205525413091,,,0.29619185350835325,0.29619185350835325,0.0,0.0,0.0
A1_gate_only,residual,0.0,0.9451968503937008,0.9496516172786282,0.9922436289411959,0.24402274191379547,0.0802837610244751,0.2840769108943641,0.2838791333232075,-0.0014669361594109587,-0.012114942613989155,-0.012312720185145731
A4_guidance_only,none,1.0,0.9461417322834645,0.9499072035844943,0.9931547894517838,0.6313055753707886,0.8397605419158936,0.3171966048274189,0.3171966048274189,-0.0012113498535448741,0.02100475131906565,0.02100475131906565
A2_full,residual,1.0,0.9464566929133859,0.9507726762041525,0.9929395217849196,0.6252856850624084,0.8390191793441772,0.3735403796993196,0.3111463864557445,-0.00034587723388668223,0.07734852619096633,0.014954532947391241
