name,lambda_att,phase1_lr,phase2_lr,weight_decay,optimizer,scheduler,best_epoch,best_val_loss,val_acc_at_best_loss,val_macro_f1_at_best,val_ilar_at_best
lam_0.0,0.0,0.00412,6.2e-05,1.87e-05,adam,plateau,6,0.17541963958364773,0.9351181102362205,0.9410894486497492,0.16594796894103522
lam_0.1,0.1,0.00412,6.2e-05,1.87e-05,adam,plateau,6,0.19412141313233713,0.9382677165354331,0.9461173014742129,0.5758210165669599
lam_0.3,0.3,0.00412,6.2e-05,1.87e-05,adam,plateau,6,0.24576251654878375,0.9385826771653544,0.9461775401402428,0.6070731990543876
lam_0.5,0.5,0.00412,6.2e-05,1.87e-05,adam,plateau,6,0.2787407511895097,0.9420472440944881,0.9480208303895258,0.6160049240232452
lam_1.0,1.0,0.00412,6.2e-05,1.87e-05,adam,plateau,6,0.39407184047961796,0.9436220472440945,0.9503724877274607,0.6204263726181871
