arm,gate_mode,lambda_att,lambda_bg,accuracy,macro_f1,macro_auc,attention_ilar,attention_dice,attention_iou,eil_pre,eil_post,delta_f1_vs_A0,delta_eil_vs_A0,params,trainable_params,gflops,state_dict_size_mb,checkpoint_size_mb,cpu_latency_ms,cpu_throughput_img_s,gpu_latency_ms,gpu_throughput_img_s
A0,none,0.0,0.0,0.9108661417322834,0.9174581621585498,0.9866449158190552,,,,0.36099269309826193,0.36099269309826193,0.0,0.0,4012672,4012672,0.398077984,15.59470272064209,15.599831581115723,45.4902633000529,21.98272613644857,7.643676520128793,130.82709575249666
A1,residual,0.0,0.0,0.9111811023622047,0.9171672189421805,0.9865956318748972,0.14086346328258514,0.0,0.0,0.36086838754825296,0.35853836265206335,-0.00029094321636935483,-0.0024543304461985826,4115233,4115233,0.403099504,15.987227439880371,15.992444038391113,37.2965981499874,26.812096802462335,7.965833299967926,125.53614447392798
A2,residual,0.1,0.0,0.9061417322834646,0.9123120699632703,0.9859515272378324,0.5148401856422424,0.009475752711296082,0.005050439387559891,0.36931316944770515,0.3970885852202773,-0.005146092195279506,0.03609589212201536,4115233,4115233,0.403099504,15.987227439880371,15.992444038391113,38.14689479986555,26.214453502609196,8.12300763980602,123.10711061006468
A3,multiply,0.1,0.0,0.9193700787401575,0.9233562583773582,0.9879266881896446,0.4405873119831085,0.6867833137512207,0.5328875780105591,0.4443014191016555,0.5038401051685214,0.005898096218808435,0.14284741207025947,4115233,4115233,0.403099504,15.987227439880371,15.992444038391113,45.25979764985095,22.09466351874627,7.856749200000195,127.27910418726044
A4,none,0.1,0.0,0.9111811023622047,0.917734032866171,0.9866944922197656,0.5717131495475769,0.7393858432769775,0.5952737331390381,0.36157929874770345,0.36157929874770345,0.00027587070762113974,0.0005866056494415184,4115233,4115233,0.398077984,15.987227439880371,15.992444038391113,46.329247150242736,21.584637383747353,8.123312919924501,123.10248415363199
A5,multiply,0.0,0.0,0.9143307086614173,0.9201935312514797,0.9879549820096589,0.2645205855369568,0.41963282227516174,0.2694321572780609,0.34163298718445,0.3699678833801299,0.002735369092929929,0.008975190281867995,4012770,4012770,0.398082786,15.595437049865723,15.60057258605957,41.70319964941882,23.978975436095492,7.916641860065283,126.31618528108504
A6,residual,0.1,1.0,0.9092913385826772,0.9160356755585859,0.9864517050016833,0.6909747123718262,0.0,0.0,0.3732018290050328,0.4008685097359121,-0.0014224865999639125,0.03987581663765016,4115233,4115233,0.403099504,15.987227439880371,15.992444038391113,43.432035850855755,23.024479060432917,7.97102669996093,125.45435332752072
