arm,mode,n_images,mean_stability,pred_flip_rate,mean_abs_confidence_change
A0,zero,3175,0.19391565024852753,0.8166928887367249,0.10118425637483597
A0,shuffle,3175,0.3630701005458832,0.6368504166603088,0.06706465035676956
A0,noise,3175,0.3364202082157135,0.6639370322227478,0.07468767464160919
A1,zero,3175,0.19345501065254211,0.8170078992843628,0.09954488277435303
A1,shuffle,3175,0.36361923813819885,0.6365354061126709,0.06663057208061218
A1,noise,3175,0.3382074236869812,0.6607874035835266,0.07543778419494629
A2,zero,3175,0.19199270009994507,0.8166928887367249,0.09677376598119736
A2,shuffle,3175,0.3596118986606598,0.6412598490715027,0.06255781650543213
A2,noise,3175,0.33887979388237,0.6626771688461304,0.07081833481788635
A3,zero,3175,0.20685061812400818,0.8091338872909546,0.1277136355638504
A3,shuffle,3175,0.3186394274234772,0.7855117917060852,0.48765820264816284
A3,noise,3175,0.3284386396408081,0.7420472502708435,0.3818812370300293
A4,zero,3175,0.19409294426441193,0.8176378011703491,0.10171415656805038
A4,shuffle,3175,0.3621072471141815,0.6381102204322815,0.06699492782354355
A4,noise,3175,0.3401779234409332,0.6617322564125061,0.07574319839477539
A5,zero,3175,0.1970750391483307,0.815118134021759,0.1016397625207901
A5,shuffle,3175,0.36263588070869446,0.6403149366378784,0.06749625504016876
A5,noise,3175,0.350221186876297,0.6541732549667358,0.08294285833835602
A6,zero,3175,0.19451089203357697,0.8144881725311279,0.10209710896015167
A6,shuffle,3175,0.35640209913253784,0.6434645652770996,0.06526853889226913
A6,noise,3175,0.34467074275016785,0.6541732549667358,0.07418663054704666
