model,module,input_shape,params_total,params_trainable,flops,gflops,state_dict_size_mb,checkpoint_size_mb,cpu_latency_ms,cpu_throughput_img_s,gpu_latency_ms,gpu_throughput_img_s
ResNet50,without_module,1x3x224x224,23516228,23516228,4109472768.0,4.109472768,90.01766109466553,,127.49832716021048,7.843240160660545,6.254387009976199,159.88777132034326
ResNet50,with_module,1x3x224x224,24041029,24041029,4135175424.0,4.135175424,92.02096462249756,,126.57565731969953,7.900413248293403,6.131267869859585,163.09840333609523
